Name	Sample	Factor	Cocat
GSM3409855	P507T	H3K4me3	GSM3409855_P507T
GSM3409856	P509T	H3K4me3	GSM3409856_P509T
GSM3409857	P511T	H3K4me3	GSM3409857_P511T
GSM3409858	P527T	H3K4me3	GSM3409858_P527T
GSM3409859	P533T	H3K4me3	GSM3409859_P533T
GSM3409860	P534T	H3K4me3	GSM3409860_P534T
GSM3409861	P536T	H3K4me3	GSM3409861_P536T
GSM3409862	P540T	H3K4me3	GSM3409862_P540T
GSM3409863	P541T	H3K4me3	GSM3409863_P541T
GSM3409864	P544T	H3K4me3	GSM3409864_P544T
GSM3409865	P555T	H3K4me3	GSM3409865_P555T
GSM3409866	P643T	H3K4me3	GSM3409866_P643T
GSM3409867	P660T	H3K4me3	GSM3409867_P660T
GSM3409868	P680T	H3K4me3	GSM3409868_P680T
GSM3409869	P695T	H3K4me3	GSM3409869_P695T
GSM3409870	P710T	H3K4me3	GSM3409870_P710T
GSM3409871	P717T	H3K4me3	GSM3409871_P717T
GSM3409872	P730T	H3K4me3	GSM3409872_P730T
GSM3409873	P737T	H3K4me3	GSM3409873_P737T
GSM3409874	P747T	H3K4me3	GSM3409874_P747T
GSM3409875	P779T	H3K4me3	GSM3409875_P779T
GSM3409876	P823T	H3K4me3	GSM3409876_P823T
GSM3409877	P832T	H3K4me3	GSM3409877_P832T
GSM3409878	P327T	H3K27me3	GSM3409878_P327T
GSM3409879	P223T	H3K27me3	GSM3409879_P223T
GSM3409880	P228T	H3K27me3	GSM3409880_P228T
GSM3409881	P245T	H3K27me3	GSM3409881_P245T
GSM3409882	P229T	H3K27me3	GSM3409882_P229T
GSM3409883	P276T	H3K27me3	GSM3409883_P276T
GSM3409884	P352T	H3K27me3	GSM3409884_P352T
GSM3409885	P511T	H3K27me3	GSM3409885_P511T
GSM3409886	P513T	H3K27me3	GSM3409886_P513T
GSM3409887	P533T	H3K27me3	GSM3409887_P533T
GSM3409888	P534T	H3K27me3	GSM3409888_P534T
GSM3409889	P811T	H3K27me3	GSM3409889_P811T
GSM3409890	P466T	H3K27me3	GSM3409890_P466T
GSM3409891	P475T	H3K27me3	GSM3409891_P475T
GSM3409892	P507T	H3K27me3	GSM3409892_P507T
GSM3409893	P509T	H3K27me3	GSM3409893_P509T
GSM3409894	P527T	H3K27me3	GSM3409894_P527T
GSM3409895	P618T	H3K27me3	GSM3409895_P618T
GSM3409896	P710T	H3K27me3	GSM3409896_P710T
GSM3409897	P730T	H3K27me3	GSM3409897_P730T
GSM3409898	P342T	H3K27me3	GSM3409898_P342T
GSM3409899	P427T	H3K27me3	GSM3409899_P427T
GSM3409900	P449T	H3K27me3	GSM3409900_P449T
GSM3409901	P500T	H3K27me3	GSM3409901_P500T
GSM3409902	P552T	H3K27me3	GSM3409902_P552T
GSM3409903	P261T	H3K27me3	GSM3409903_P261T
GSM3409904	P431T	H3K27me3	GSM3409904_P431T
GSM3409905	P444T	H3K27me3	GSM3409905_P444T
GSM3409906	P456T	H3K27me3	GSM3409906_P456T
GSM3409907	P457T	H3K27me3	GSM3409907_P457T
GSM3409908	P301T	H3K27me3	GSM3409908_P301T
GSM3409909	P324T	H3K27me3	GSM3409909_P324T
GSM3409910	P328T	H3K27me3	GSM3409910_P328T
GSM3409911	P343T	H3K27me3	GSM3409911_P343T
GSM3409912	P349T	H3K27me3	GSM3409912_P349T
GSM3409913	P823T	H3K27me3	GSM3409913_P823T
GSM3409914	P305T	H3K27me3	GSM3409914_P305T
GSM3409915	P300T	H3K27me3	GSM3409915_P300T
GSM3409916	P450T	H3K27me3	GSM3409916_P450T
GSM3409917	P506T	H3K27me3	GSM3409917_P506T
GSM3409918	P310T	H3K27me3	GSM3409918_P310T
GSM3409919	P309T	H3K27me3	GSM3409919_P309T
GSM3409920	P268T	H3K27me3	GSM3409920_P268T
GSM3409921	P536T	H3K27me3	GSM3409921_P536T
GSM3409922	P643T	H3K27me3	GSM3409922_P643T
GSM3409923	P717T	H3K27me3	GSM3409923_P717T
GSM3409924	P737T	H3K27me3	GSM3409924_P737T
GSM3409925	P747T	H3K27me3	GSM3409925_P747T
GSM3409926	P779T	H3K27me3	GSM3409926_P779T
GSM3409927	P832T	H3K27me3	GSM3409927_P832T
GSM3409928	P452T	H3K27me3	GSM3409928_P452T
GSM3409929	P464T	H3K27me3	GSM3409929_P464T
GSM3409930	P531T	H3K27me3	GSM3409930_P531T
GSM3409931	P559T	H3K27me3	GSM3409931_P559T
GSM3409932	P560T	H3K27me3	GSM3409932_P560T
GSM3409933	P593T	H3K27me3	GSM3409933_P593T
GSM3409934	P603T	H3K27me3	GSM3409934_P603T
GSM3409935	P555T	H3K27me3	GSM3409935_P555T
GSM3409936	P660T	H3K27me3	GSM3409936_P660T
GSM3409937	P265T	H3K27me3	GSM3409937_P265T
GSM3409938	P294T	H3K27me3	GSM3409938_P294T
GSM3409939	P355T	H3K27me3	GSM3409939_P355T
GSM3409940	P544T	H3K27me3	GSM3409940_P544T
GSM3409941	P680T	H3K27me3	GSM3409941_P680T
GSM3409942	P695T	H3K27me3	GSM3409942_P695T
GSM3409944	P230T	H3K27me3	GSM3409944_P230T
GSM3409945	P249T	H3K27me3	GSM3409945_P249T
GSM3409947	P254T	H3K27me3	GSM3409947_P254T
GSM3409950	P263T	H3K27me3	GSM3409950_P263T
GSM3409952	P272T	H3K27me3	GSM3409952_P272T
GSM3409954	P274T	H3K27me3	GSM3409954_P274T
GSM3409955	P279T	H3K27me3	GSM3409955_P279T
GSM3409956	P280T	H3K27me3	GSM3409956_P280T
GSM3409957	P291T	H3K27me3	GSM3409957_P291T
GSM3409958	P295T	H3K27me3	GSM3409958_P295T
GSM3409959	P336T	H3K27me3	GSM3409959_P336T
