"gene"	"entrez"	"MCF7"	"VCAP"	"MCF7_s"	"X22RV1"	"LNCAP_s"	"DU145"	"LNCAP_g"	"PC3"
"ABCE1"	6059	-1.1697992	-0.9776068	-1.382846	-1.655205	-1.752754	-1.662311	-0.743685874742	-1.20114862939
"ABCF1"	23	-0.7857221	-1.0084356	-0.9710024	-1.2568607	-1.0979463	-1.353357	-0.713489585054	-0.456533516062
"ABCF2"	10061	0.02723864	-0.22451597	-0.0489778	0.01418267	-0.07097021	0.06095358	-0.339988542458	-0.288864254699
"ABCF3"	55324	0.1774558	0.0374051	0.09559514	0.09550026	0.08077433	0.17145819	-0.177953107015	0.246502106987
"ABCG1"	9619	-0.3571025	-0.6921666	0.31831997	0.04777994	0.09610311	0.13836031	-0.0424836178604	0.133020644738
"ABCG2"	9429	0.1541556	-0.1133081	0.169070892	-0.203001861	0.001307751	-0.088133125	0.228181497721	0.310012698396
"ABCG4"	64137	-0.0200261	-0.08725878	0.03518476	-0.05607338	0.17669218	0.08593301	0.123182868669	0.0148910199043
"ABCG5"	64240	0.1155706	0.3540764	0.14473177	0.08786144	0.20436912	0.32617592	0.239972812084	-0.0581384046809
"ABCG8"	64241	-0.03189865	0.04296019	0.01530544	-0.006786979	0.192609708	0.093578983	-0.285801212043	-0.0291856420245
"ABHD1"	84696	0.05507522	-0.03673199	0.38171846	-0.12643397	-0.06833213	0.07411746	-0.149923934826	-0.556194130476
"ABHD10"	55347	0.1670372	0.1875645	-0.1544095	-0.4296101	-0.2063676	-0.2749259	-0.119925101718	-0.907510801248
"ABHD11"	83451	-0.7857178	-0.3840258	-0.16470869	-0.05159785	-0.02887534	-0.10971767	-0.141496578775	-0.327263986345
"ABHD12"	26090	-0.08642916	0.20847303	-0.13493963	0.10276165	0.04714232	-0.02307215	0.122967225684	0.287034342587
"ABHD12B"	145447	0.10107442	-0.06903975	0.133191969	0.03550277	0.041481038	-0.004238359	-0.419137867131	-0.632198251369
"ABHD13"	84945	-0.3934206	-0.6211132	-0.13397991	-0.06231384	0.09513923	-0.1418066	0.0470810924879	0.334356279609
"ABHD14A"	25864	-0.0364953	-0.210831	0.25939237	0.06402806	0.12065428	-0.10418184	0.33091799126	0.375314558165
"ABHD14B"	84836	-0.02736551	-0.17207217	-0.11068491	0.0321996	0.00280966	-0.04776428	-0.593076623166	-0.521587349531
"ABHD15"	116236	-0.4916291	-0.6575444	-0.4683514	-0.4212689	-0.583694	-0.4835939	0.0346864556788	0.204675649008
"ABHD16A"	7920	-0.1849473	-0.4754713	0.06587388	0.31790472	0.10343573	0.01005102	-0.234245841671	-0.0895918335644
"ABHD16B"	140701	-0.3244183	-0.4165288	0.30139033	0.05310445	0.09227359	0.08772515	-0.208504744383	-0.233297820803
"ABHD17A"	81926	-0.4979198	-0.9539416	0.02894687	0.19766969	-0.2162122	-0.15684972	-0.178510187632	-0.778364965371
"ABHD17B"	51104	0.04304021	-0.07771781	-0.26517719	-0.47206012	-0.18875455	-0.05481979	-0.138878453382	-0.567508429824
"ABHD17C"	58489	-0.141387	0.118415	0.2921857	0.0714073	0.1330047	0.1770423	0.0561086276385	0.26691340176
"ABHD2"	11057	-0.1455964	-0.2648601	0.2053951	0.2397623	0.2743832	0.1666562	0.226294542984	0.298995076301
"ABHD3"	171586	-0.290761	-0.07882526	-0.28673705	-0.21132071	-0.14876235	-0.06688466	0.163689379184	0.136206238216
"ABHD4"	63874	-0.03276844	-0.01925643	0.24861066	0.06351916	-0.1243657	0.11956867	-0.219735026753	0.247563122696
"ABHD5"	51099	0.0800725	0.07972815	0.01661502	0.12633418	-0.09847899	-0.24704653	0.0993506208942	0.0146559804767
"ABHD6"	57406	0.03912689	0.05626137	0.1415539	0.4845958	0.1494138	0.158262	0.0683232631634	0.687021249541
"ABHD8"	79575	-0.336744	-0.2072929	0.06203141	0.23216172	-0.06872087	-0.01493397	-0.156745134029	-0.498045087338
"ABI1"	10006	-0.3185739	0.2211603	0.01543729	0.3196004	0.21559566	0.12294533	-0.00854547924318	-0.03804476472
